drug_name,drug_id,disease_name,disease_id,pmid_count,total_articles
metformin,@CHEMICAL_Metformin,Diabetes Mellitus Type 2,@DISEASE_Diabetes_Mellitus_Type_2,10,8188
metformin,@CHEMICAL_Metformin,Diabetes Mellitus,@DISEASE_Diabetes_Mellitus,10,5049
metformin,@CHEMICAL_Metformin,Neoplasms,@DISEASE_Neoplasms,10,2388
metformin,@CHEMICAL_Metformin,Polycystic Ovary Syndrome,@DISEASE_Polycystic_Ovary_Syndrome,10,1746
metformin,@CHEMICAL_Metformin,Obesity,@DISEASE_Obesity,10,1399
metformin,@CHEMICAL_Metformin,Inflammation,@DISEASE_Inflammation,10,1175
metformin,@CHEMICAL_Metformin,Insulin Resistance,@DISEASE_Insulin_Resistance,10,1228
metformin,@CHEMICAL_Metformin,Breast Neoplasms,@DISEASE_Breast_Neoplasms,10,568
metformin,@CHEMICAL_Metformin,Diabetes Gestational,@DISEASE_Diabetes_Gestational,10,504
metformin,@CHEMICAL_Metformin,Hyperglycemia,@DISEASE_Hyperglycemia,10,391
metformin,@CHEMICAL_Metformin,Overweight,@DISEASE_Overweight,10,361
metformin,@CHEMICAL_Metformin,Metabolic Syndrome,@DISEASE_Metabolic_Syndrome,10,351
metformin,@CHEMICAL_Metformin,Weight Gain,@DISEASE_Weight_Gain,10,396
metformin,@CHEMICAL_Metformin,Cardiovascular Diseases,@DISEASE_Cardiovascular_Diseases,10,429
metformin,@CHEMICAL_Metformin,Colorectal Neoplasms,@DISEASE_Colorectal_Neoplasms,10,305
metformin,@CHEMICAL_Metformin,Glucose Intolerance,@DISEASE_Glucose_Intolerance,10,289
metformin,@CHEMICAL_Metformin,Non alcoholic Fatty Liver Disease,@DISEASE_Non_alcoholic_Fatty_Liver_Disease,10,284
metformin,@CHEMICAL_Metformin,Weight Loss,@DISEASE_Weight_Loss,10,493
metformin,@CHEMICAL_Metformin,Carcinoma Hepatocellular,@DISEASE_Carcinoma_Hepatocellular,10,276
metformin,@CHEMICAL_Metformin,Prediabetic State,@DISEASE_Prediabetic_State,10,245
metformin,@CHEMICAL_Metformin,Prostatic Neoplasms,@DISEASE_Prostatic_Neoplasms,10,250
metformin,@CHEMICAL_Metformin,Hyperglycemic Hyperosmolar Nonketotic Coma,@DISEASE_Hyperglycemic_Hyperosmolar_Nonketotic_Coma,10,218
metformin,@CHEMICAL_Metformin,Fibrosis,@DISEASE_Fibrosis,10,217
metformin,@CHEMICAL_Metformin,Diabetes Mellitus Type 1,@DISEASE_Diabetes_Mellitus_Type_1,10,196
metformin,@CHEMICAL_Metformin,Pancreatic Neoplasms,@DISEASE_Pancreatic_Neoplasms,10,202
metformin,@CHEMICAL_Metformin,Heart Failure,@DISEASE_Heart_Failure,10,249
metformin,@CHEMICAL_Metformin,Hypertension,@DISEASE_Hypertension,10,201
metformin,@CHEMICAL_Metformin,COVID 19,@DISEASE_COVID_19,10,184
metformin,@CHEMICAL_Metformin,Myotonic Dystrophy,@DISEASE_Myotonic_Dystrophy,10,151
