item,status,base_rank,cur_rank,base_weight,cur_weight,rank_delta
coronary atherosclerosis of native coronary artery,shared,2.0,16.0,18847.0,167087.0,14.0
"acute kidney failure, unspecified",shared,8.0,6.0,7425.0,300986.0,-2.0
atrial fibrillation,shared,9.0,15.0,6925.0,167958.0,6.0
atherosclerotic heart disease of native coronary artery without angina pectoris,shared,12.0,8.0,5226.0,225524.0,-4.0
"urinary tract infection, site not specified",shared,15.0,20.0,4559.0,139508.0,5.0
encounter for antineoplastic chemotherapy,dropped,1.0,,20923.0,,
"hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",dropped,3.0,,13515.0,,
"sepsis, unspecified organism",dropped,4.0,,12294.0,,
non-st elevation (nstemi) myocardial infarction,dropped,5.0,,11407.0,,
"subendocardial infarction, initial episode of care",dropped,6.0,,8647.0,,
hypertensive heart disease with heart failure,dropped,7.0,,7575.0,,
"pneumonia, organism unspecified",dropped,10.0,,5661.0,,
acute on chronic diastolic heart failure,dropped,11.0,,5520.0,,
other chest pain,dropped,13.0,,5185.0,,
unspecified septicemia,dropped,14.0,,4902.0,,
acute on chronic systolic heart failure,dropped,16.0,,4558.0,,
aortic valve disorders,dropped,17.0,,4211.0,,
atherosclerotic heart disease of native coronary artery with unstable angina pectoris,dropped,18.0,,4015.0,,
acute pancreatitis,dropped,19.0,,3749.0,,
nonrheumatic aortic (valve) stenosis,dropped,20.0,,3309.0,,
"hyperlipidemia, unspecified",added,,1.0,,443237.0,
unspecified essential hypertension,added,,2.0,,410609.0,
essential (primary) hypertension,added,,3.0,,365869.0,
personal history of nicotine dependence,added,,4.0,,314636.0,
other and unspecified hyperlipidemia,added,,5.0,,306574.0,
gastro-esophageal reflux disease without esophagitis,added,,7.0,,298192.0,
esophageal reflux,added,,9.0,,215797.0,
"major depressive disorder, single episode, unspecified",added,,10.0,,192468.0,
"congestive heart failure, unspecified",added,,11.0,,183983.0,
"anemia, unspecified",added,,12.0,,182344.0,
"anxiety disorder, unspecified",added,,13.0,,179827.0,
"diabetes mellitus without mention of complication, type ii or unspecified type, not stated as uncontrolled",added,,14.0,,169364.0,
long term (current) use of anticoagulants,added,,17.0,,160154.0,
"obesity, unspecified",added,,18.0,,143888.0,
"chronic kidney disease, unspecified",added,,19.0,,143774.0,
