item,status,base_rank,cur_rank,base_weight,cur_weight,rank_delta
acetaminophen,shared,1.0,1.0,64515.0,388827.0,0.0
aspirin,shared,2.0,3.0,23789.0,118923.0,1.0
potassium chloride,shared,3.0,4.0,20887.0,108543.0,1.0
ondansetron,shared,4.0,2.0,16402.0,121287.0,-2.0
furosemide,shared,5.0,5.0,16187.0,79304.0,0.0
atorvastatin,shared,6.0,6.0,13334.0,78550.0,0.0
lorazepam,shared,7.0,8.0,6650.0,48828.0,1.0
pantoprazole,shared,8.0,7.0,5701.0,61052.0,-1.0
ibuprofen,shared,9.0,12.0,4225.0,22903.0,3.0
clopidogrel,shared,10.0,19.0,4009.0,14052.0,9.0
omeprazole,shared,11.0,9.0,3527.0,45994.0,-2.0
famotidine,shared,13.0,18.0,2682.0,16151.0,5.0
warfarin,shared,15.0,15.0,2514.0,18787.0,0.0
lisinopril,shared,16.0,10.0,2390.0,29122.0,-6.0
hydralazine,shared,17.0,14.0,2374.0,19653.0,-3.0
prednisone,shared,18.0,20.0,2198.0,13268.0,2.0
trazodone,shared,19.0,16.0,1221.0,17368.0,-3.0
azithromycin,dropped,12.0,,3132.0,,
acyclovir,dropped,14.0,,2616.0,,
folic acid,dropped,20.0,,1157.0,,
amlodipine,added,,11.0,,23266.0,
gabapentin,added,,13.0,,22727.0,
simvastatin,added,,17.0,,16844.0,
