item,status,base_rank,cur_rank,base_weight,cur_weight,rank_delta
acetaminophen,shared,1.0,1.0,64515.0,410384.0,0.0
aspirin,shared,2.0,4.0,23789.0,125438.0,2.0
potassium chloride,shared,3.0,3.0,20887.0,130461.0,0.0
ondansetron,shared,4.0,2.0,16402.0,132376.0,-2.0
furosemide,shared,5.0,5.0,16187.0,93749.0,0.0
atorvastatin,shared,6.0,6.0,13334.0,81704.0,0.0
lorazepam,shared,7.0,8.0,6650.0,56567.0,1.0
pantoprazole,shared,8.0,7.0,5701.0,65332.0,-1.0
ibuprofen,shared,9.0,13.0,4225.0,24042.0,4.0
clopidogrel,shared,10.0,19.0,4009.0,15534.0,9.0
omeprazole,shared,11.0,9.0,3527.0,49371.0,-2.0
famotidine,shared,13.0,17.0,2682.0,17846.0,4.0
warfarin,shared,15.0,14.0,2514.0,23432.0,-1.0
lisinopril,shared,16.0,10.0,2390.0,34581.0,-6.0
hydralazine,shared,17.0,15.0,2374.0,22996.0,-2.0
prednisone,shared,18.0,20.0,2198.0,15326.0,2.0
trazodone,shared,19.0,16.0,1221.0,20584.0,-3.0
azithromycin,dropped,12.0,,3132.0,,
acyclovir,dropped,14.0,,2616.0,,
folic acid,dropped,20.0,,1157.0,,
amlodipine,added,,11.0,,26663.0,
gabapentin,added,,12.0,,24580.0,
simvastatin,added,,18.0,,17727.0,
