item,status,base_rank,cur_rank,base_weight,cur_weight,rank_delta
acetaminophen,shared,1.0,1.0,64515.0,2606409.0,0.0
aspirin,shared,2.0,3.0,23789.0,929027.0,1.0
potassium chloride,shared,3.0,4.0,20887.0,702236.0,1.0
ondansetron,shared,4.0,2.0,16402.0,938544.0,-2.0
furosemide,shared,5.0,8.0,16187.0,534509.0,3.0
atorvastatin,shared,6.0,5.0,13334.0,694281.0,-1.0
lorazepam,shared,7.0,9.0,6650.0,460449.0,2.0
pantoprazole,shared,8.0,6.0,5701.0,634487.0,-2.0
clopidogrel,shared,10.0,19.0,4009.0,146310.0,9.0
omeprazole,shared,11.0,7.0,3527.0,540079.0,-4.0
famotidine,shared,13.0,17.0,2682.0,179755.0,4.0
warfarin,shared,15.0,20.0,2514.0,145665.0,5.0
lisinopril,shared,16.0,12.0,2390.0,232199.0,-4.0
hydralazine,shared,17.0,16.0,2374.0,181708.0,-1.0
prednisone,shared,18.0,18.0,2198.0,148067.0,0.0
trazodone,shared,19.0,13.0,1221.0,212199.0,-6.0
folic acid,shared,20.0,14.0,1157.0,193622.0,-6.0
ibuprofen,dropped,9.0,,4225.0,,
azithromycin,dropped,12.0,,3132.0,,
acyclovir,dropped,14.0,,2616.0,,
gabapentin,added,,10.0,,355911.0,
amlodipine,added,,11.0,,235051.0,
simvastatin,added,,15.0,,183126.0,
