item,status,base_rank,cur_rank,base_weight,cur_weight,rank_delta
acetaminophen,shared,1.0,1.0,64515.0,55343.0,0.0
aspirin,shared,2.0,2.0,23789.0,17919.0,0.0
potassium chloride,shared,3.0,4.0,20887.0,13390.0,1.0
ondansetron,shared,4.0,3.0,16402.0,13947.0,-1.0
furosemide,shared,5.0,6.0,16187.0,10717.0,1.0
atorvastatin,shared,6.0,5.0,13334.0,10871.0,-1.0
lorazepam,shared,7.0,7.0,6650.0,5247.0,0.0
pantoprazole,shared,8.0,8.0,5701.0,4503.0,0.0
ibuprofen,shared,9.0,9.0,4225.0,3008.0,0.0
clopidogrel,shared,10.0,11.0,4009.0,2540.0,1.0
omeprazole,shared,11.0,10.0,3527.0,2683.0,-1.0
azithromycin,shared,12.0,14.0,3132.0,1995.0,2.0
famotidine,shared,13.0,13.0,2682.0,2213.0,0.0
acyclovir,shared,14.0,12.0,2616.0,2532.0,-2.0
warfarin,shared,15.0,16.0,2514.0,1566.0,1.0
lisinopril,shared,16.0,17.0,2390.0,1335.0,1.0
hydralazine,shared,17.0,15.0,2374.0,1638.0,-2.0
prednisone,shared,18.0,18.0,2198.0,1326.0,0.0
folic acid,shared,20.0,19.0,1157.0,859.0,-1.0
trazodone,dropped,19.0,,1221.0,,
gabapentin,added,,20.0,,854.0,
