item,status,base_rank,cur_rank,base_weight,cur_weight,rank_delta
acetaminophen,shared,1.0,1.0,64515.0,335248.0,0.0
aspirin,shared,2.0,3.0,23789.0,95443.0,1.0
potassium chloride,shared,3.0,4.0,20887.0,70755.0,1.0
ondansetron,shared,4.0,2.0,16402.0,98425.0,-2.0
furosemide,shared,5.0,6.0,16187.0,54208.0,1.0
atorvastatin,shared,6.0,5.0,13334.0,65151.0,-1.0
lorazepam,shared,7.0,9.0,6650.0,35343.0,2.0
pantoprazole,shared,8.0,7.0,5701.0,51578.0,-1.0
ibuprofen,shared,9.0,12.0,4225.0,17523.0,3.0
clopidogrel,shared,10.0,20.0,4009.0,9700.0,10.0
omeprazole,shared,11.0,8.0,3527.0,38387.0,-3.0
famotidine,shared,13.0,17.0,2682.0,11742.0,4.0
warfarin,shared,15.0,18.0,2514.0,11735.0,3.0
lisinopril,shared,16.0,10.0,2390.0,19627.0,-6.0
hydralazine,shared,17.0,14.0,2374.0,14152.0,-3.0
trazodone,shared,19.0,16.0,1221.0,12152.0,-3.0
folic acid,shared,20.0,19.0,1157.0,9867.0,-1.0
azithromycin,dropped,12.0,,3132.0,,
acyclovir,dropped,14.0,,2616.0,,
prednisone,dropped,18.0,,2198.0,,
gabapentin,added,,11.0,,18575.0,
amlodipine,added,,13.0,,17324.0,
simvastatin,added,,15.0,,13672.0,
